Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,9.917313,9.771513,9.100833,9.310785,9.487203,9.345777,8.965239,9.558645,9.495951,9.530943,8.928789,9.271419,9.583431,9.656331,9.678201,8.325177,9.694239,9.767139,9.156237,9.259755,9.826917,9.794841,9.789009,8.858805,9.824001,9.857535,9.316617,9.402639,9.506157,9.653415,9.332655,8.764035,9.805047,9.207267,8.596365,8.307681,9.586347,9.672369,8.850057,9.686949,9.418677,10.041243,9.045429,9.217473,3.054509,2.764367,2.812481,2.684177
2,9.943557,9.762765,9.095001,9.313701,9.511989,9.319533,8.966697,9.554271,9.476997,9.544065,8.968155,9.307869,9.590721,9.697155,9.719025,8.352879,9.719025,9.797757,9.163527,9.300579,9.869199,9.809421,9.797757,8.892339,9.770055,9.847329,9.297663,9.386601,9.570309,9.700071,9.402639,8.806317,9.835665,9.226221,8.610945,8.323719,9.618423,9.698613,8.873385,9.702987,9.450753,10.080609,9.051261,9.159153,3.072005,2.776031,2.841641,2.700215
3,9.904191,9.685491,9.019185,9.234969,9.440547,9.306411,8.904003,9.491577,9.398265,9.507615,8.922957,9.259755,9.491577,9.685491,9.669453,8.301849,9.667995,9.745269,9.135825,9.285999,9.810879,9.768597,9.743811,8.851515,9.697155,9.784635,9.243717,9.345777,9.507615,9.667995,9.367647,8.778615,9.800673,9.189771,8.591991,8.301849,9.576141,9.666537,8.850057,9.697155,9.418677,10.058739,9.013353,9.129993,3.060341,2.771657,2.840183,2.694383
4,9.812337,9.605301,8.946285,9.137283,9.339945,9.237885,8.828187,9.395349,9.303495,9.479913,8.841309,9.210183,9.389517,9.657789,9.606759,8.319345,9.605301,9.678201,9.113955,9.259755,9.735063,9.720483,9.663621,8.785905,9.630087,9.727773,9.175191,9.269961,9.434715,9.624255,9.325365,8.742165,9.742353,9.131451,8.555541,8.291643,9.519279,9.615507,8.815065,9.649041,9.370563,10.003335,8.984193,9.086253,3.067631,2.780405,2.850389,2.692925
5,9.713193,9.542607,8.960865,9.159153,9.271419,9.131451,8.769867,9.326823,9.261213,9.444921,8.788821,9.156237,9.271419,9.616965,9.522195,8.351421,9.517821,9.592179,9.061467,9.233511,9.644667,9.654873,9.577599,8.749455,9.542607,9.656331,9.078963,9.207267,9.347235,9.536775,9.245175,8.670723,9.675285,9.046887,8.520549,8.275605,9.436173,9.525111,8.743623,9.608217,9.325365,9.931893,8.931705,9.041055,3.073463,2.774573,2.853305,2.697299
6,9.716109,9.535317,8.953575,9.156237,9.262671,9.115413,8.765493,9.290373,9.252465,9.347235,8.775699,9.036681,9.185397,9.498867,9.487203,8.358711,9.485745,9.571767,9.000231,9.178107,9.593637,9.584889,9.536775,8.740707,9.436173,9.541149,9.014811,9.112497,9.249549,9.479913,9.194145,8.602197,9.583431,8.979819,8.441817,8.202705,9.350151,9.443463,8.680929,9.503241,9.217473,9.825459,8.829645,8.946285,3.064715,2.781863,2.844557,2.694383
7,9.727773,9.563019,8.973987,9.185397,9.278709,9.143115,8.787363,9.315159,9.274335,9.277251,8.796111,9.016269,9.197061,9.450753,9.504699,8.379123,9.506157,9.598011,9.016269,9.118329,9.606759,9.614049,9.567393,8.755287,9.439089,9.539691,9.032307,9.077505,9.259755,9.493035,9.214557,8.610945,9.579057,8.979819,8.437443,8.186667,9.350151,9.468249,8.696967,9.411387,9.185397,9.771513,8.772783,8.918583,3.074921,2.780405,2.847473,2.701673
8,9.758391,9.557187,8.988567,9.189771,9.290373,9.146031,8.799027,9.325365,9.293289,9.271419,8.803401,9.023559,9.197061,9.460959,9.533859,8.411199,9.520737,9.621339,9.026475,9.134367,9.633003,9.616965,9.590721,8.761119,9.444921,9.549897,9.041055,9.112497,9.268503,9.511989,9.220389,8.615319,9.583431,9.010437,8.450565,8.202705,9.367647,9.487203,8.702799,9.424509,9.186855,9.789009,8.768409,8.934621,3.064715,2.780405,2.846015,2.692925
9,9.762765,9.573225,8.988567,9.199977,9.293289,9.159153,8.809233,9.347235,9.296205,9.287457,8.796111,9.027933,9.194145,9.481371,9.536775,8.403909,9.536775,9.622797,9.043971,9.146031,9.622797,9.640293,9.611133,8.765493,9.449295,9.551355,9.051261,9.099375,9.280167,9.520737,9.233511,8.615319,9.602385,9.013353,8.456397,8.201247,9.388059,9.481371,8.724669,9.428883,9.198519,9.787551,8.781531,8.924415,3.060341,2.787695,2.841641,2.695841
10,9.806505,9.589263,9.011895,9.217473,9.315159,9.170817,8.834019,9.361815,9.316617,9.304953,8.812149,9.035223,9.211641,9.506157,9.557187,8.424321,9.552813,9.651957,9.062925,9.167901,9.653415,9.663621,9.638835,8.787363,9.456585,9.568851,9.068757,9.112497,9.296205,9.536775,9.258297,8.635731,9.622797,9.045429,8.476809,8.230407,9.409929,9.510531,8.742165,9.462417,9.201435,9.802131,8.797569,8.952117,3.074921,2.783321,2.853305,2.697299
11,9.822543,9.619881,9.029391,9.234969,9.326823,9.185397,8.851515,9.385143,9.334113,9.320991,8.812149,9.054177,9.220389,9.520737,9.583431,8.435985,9.579057,9.672369,9.078963,9.176649,9.672369,9.678201,9.663621,8.793195,9.471165,9.581973,9.083337,9.137283,9.312243,9.567393,9.275793,8.647395,9.651957,9.077505,8.497221,8.253735,9.431799,9.525111,8.755287,9.495951,9.213099,9.831291,8.819439,8.972529,3.073463,2.787695,2.854763,2.692925
12,9.832749,9.662163,9.030849,9.252465,9.329739,9.189771,8.854431,9.404097,9.339945,9.350151,8.823813,9.054177,9.220389,9.530943,9.586347,8.452023,9.587805,9.678201,9.084795,9.194145,9.719025,9.695697,9.682575,8.796111,9.482829,9.587805,9.092085,9.143115,9.319533,9.577599,9.287457,8.638647,9.666537,9.093543,8.513259,8.259567,9.455127,9.532401,8.771325,9.506157,9.217473,9.841497,8.842767,8.979819,3.072005,2.789153,2.850389,2.698757
13,9.870657,9.746727,9.048345,9.275793,9.344319,9.227679,8.863179,9.447837,9.353067,9.383685,8.831103,9.083337,9.227679,9.570309,9.619881,8.462229,9.621339,9.704445,9.096459,9.226221,9.759849,9.707361,9.721941,8.819439,9.484287,9.621339,9.115413,9.166443,9.334113,9.593637,9.316617,8.651769,9.708819,9.113955,8.538045,8.272689,9.488661,9.544065,8.793195,9.522195,9.216015,9.857535,8.860263,9.008979,3.073463,2.786237,2.867885,2.694383
14,9.892527,9.867741,9.062925,9.269961,9.351609,9.224763,8.871927,9.455127,9.353067,9.402639,8.839851,9.090627,9.232053,9.593637,9.618423,8.475351,9.630087,9.711735,9.105207,9.240801,9.755475,9.729231,9.717567,8.815065,9.497409,9.606759,9.119787,9.175191,9.342861,9.619881,9.319533,8.664891,9.711735,9.143115,8.536587,8.290185,9.495951,9.564477,8.800485,9.526569,9.220389,9.851703,8.901087,9.006063,3.073463,2.797901,2.851847,2.694383
15,9.910023,10.089357,9.073131,9.269961,9.357441,9.306411,8.883591,9.465333,9.369105,9.399723,8.841309,9.081879,9.243717,9.600927,9.625713,8.478267,9.634461,9.735063,9.115413,9.236427,9.784635,9.735063,9.732147,8.826729,9.503241,9.605301,9.128535,9.188313,9.348693,9.628629,9.329739,8.650311,9.720483,9.162069,8.562831,8.293101,9.507615,9.565935,8.809233,9.544065,9.221847,9.870657,8.911293,9.032307,3.072005,2.792069,2.851847,2.694383
16,9.895443,10.487391,9.064383,9.271419,9.347235,9.316617,8.863179,9.481371,9.360357,9.407013,8.841309,9.092085,9.233511,9.609675,9.619881,8.476809,9.640293,9.735063,9.113955,9.232053,9.783177,9.733605,9.730689,8.816523,9.497409,9.608217,9.137283,9.178107,9.348693,9.622797,9.326823,8.648853,9.730689,9.170817,8.570121,8.290185,9.520737,9.565935,8.799027,9.551355,9.217473,9.872115,8.914209,9.033765,3.067631,2.789153,2.844557,2.692925
17,9.921687,11.203268,9.078963,9.285999,9.367647,9.319533,8.880675,9.493035,9.370563,9.440547,8.857347,9.106665,9.252465,9.633003,9.637377,8.491389,9.650499,9.749643,9.125619,9.230595,9.796299,9.748185,9.748185,8.823813,9.513447,9.609675,9.146031,9.198519,9.358899,9.649041,9.329739,8.660517,9.742353,9.207267,8.577411,8.306223,9.541149,9.586347,8.820897,9.567393,9.390975,9.893985,8.940453,9.052719,3.067631,2.792069,2.847473,2.688551
18,9.923145,12.359462,9.071673,9.291831,9.358899,9.329739,8.886507,9.528027,9.390975,9.443463,8.851515,9.113955,9.262671,9.631545,9.640293,8.494305,9.654873,9.777345,9.128535,9.236427,9.818169,9.751101,9.751101,8.826729,9.513447,9.614049,9.169359,9.189771,9.374937,9.649041,9.351609,8.637189,9.764223,9.211641,8.589075,8.307681,9.555729,9.584889,8.820897,9.574683,9.360357,9.892527,8.949201,9.071673,3.066173,2.784779,2.857679,2.688551
19,9.947931,14.0522,9.081879,9.318075,9.379311,9.353067,8.895255,9.548439,9.399723,9.475539,8.879217,9.144573,9.269961,9.679659,9.649041,8.510343,9.670911,9.787551,9.143115,9.259755,9.824001,9.778803,9.767139,8.819439,9.544065,9.627171,9.170817,9.210183,9.372021,9.660705,9.369105,8.656143,9.774429,9.251007,8.610945,8.323719,9.579057,9.606759,8.828187,9.598011,9.405555,9.921687,8.969613,9.100833,3.077837,2.790611,2.847473,2.694383
20,9.950847,16.285855,9.080421,9.315159,9.386601,9.361815,8.917125,9.549897,9.420135,9.484287,8.887965,9.157695,9.278709,9.700071,9.638835,8.514717,9.667995,9.793383,9.157695,9.262671,9.822543,9.794841,9.768597,8.810691,9.558645,9.619881,9.186855,9.204351,9.392433,9.708819,9.367647,8.661975,9.784635,9.261213,8.622609,8.328093,9.600927,9.616965,8.826729,9.616965,9.417219,9.917313,8.992941,9.109581,3.077837,2.800817,2.846015,2.703131
21,9.997503,18.94962,9.111039,9.318075,9.414303,9.374937,8.920041,9.561561,9.431799,9.488661,8.906919,9.159153,9.306411,9.705903,9.653415,8.535129,9.681117,9.816711,9.169359,9.294747,9.831291,9.812337,9.780261,8.809233,9.579057,9.638835,9.195603,9.236427,9.407013,9.719025,9.382227,8.664891,9.791925,9.294747,8.641563,8.358711,9.611133,9.638835,8.845683,9.625713,9.428883,9.918771,9.016269,9.128535,3.070547,2.799359,2.844557,2.692925
22,10.000419,21.938519,9.109581,9.350151,9.420135,9.398265,8.921499,9.580515,9.449295,9.506157,8.921499,9.181023,9.304953,9.713193,9.667995,8.527839,9.704445,9.841497,9.182481,9.288915,9.860451,9.809421,9.800673,8.810691,9.580515,9.649041,9.240801,9.239343,9.420135,9.726315,9.395349,8.666349,9.809421,9.307869,8.661975,8.368917,9.653415,9.656331,8.851515,9.638835,9.459501,9.920229,9.026475,9.151863,3.079295,2.792069,2.867885,2.704589
23,9.996045,25.103836,9.097917,9.338487,9.411387,9.414303,8.933163,9.584889,9.471165,9.507615,8.908377,9.194145,9.306411,9.739437,9.679659,8.526381,9.713193,9.860451,9.195603,9.294747,9.853161,9.819627,9.812337,8.813607,9.590721,9.650499,9.252465,9.237885,9.427425,9.716109,9.396807,8.664891,9.813795,9.310785,8.673639,8.348505,9.666537,9.651957,8.858805,9.651957,9.474081,9.946473,9.033765,9.159153,3.083669,2.787695,2.853305,2.698757
24,10.022289,28.368297,9.116871,9.351609,9.433257,9.433257,8.936079,9.612591,9.504699,9.520737,8.931705,9.192687,9.331197,9.745269,9.685491,8.548251,9.733605,9.901275,9.211641,9.320991,9.880863,9.834207,9.834207,8.822355,9.612591,9.665079,9.268503,9.255381,9.430341,9.724857,9.405555,8.682387,9.837123,9.342861,8.702799,8.370375,9.673827,9.675285,8.867553,9.665079,9.493035,9.956679,9.068757,9.175191,3.092417,2.805191,2.859137,2.692925
25,10.026663,31.730444,9.127077,9.374937,9.446379,9.459501,8.953575,9.614049,9.522195,9.530943,8.947743,9.221847,9.339945,9.764223,9.702987,8.551167,9.745269,9.918771,9.236427,9.325365,9.895443,9.842955,9.838581,8.819439,9.618423,9.672369,9.281625,9.271419,9.449295,9.754017,9.424509,8.701341,9.853161,9.366189,8.714463,8.376207,9.700071,9.695697,8.898171,9.708819,9.500325,9.965427,9.062925,9.195603,3.083669,2.793527,2.857679,2.707505
26,10.033953,35.038645,9.131451,9.370563,9.469707,9.459501,8.949201,9.615507,9.523653,9.536775,8.959407,9.223305,9.335571,9.762765,9.707361,8.561373,9.743811,9.921687,9.240801,9.331197,9.905649,9.847329,9.838581,8.817981,9.619881,9.675285,9.278709,9.274335,9.442005,9.749643,9.424509,8.698425,9.848787,9.374937,8.718837,8.377665,9.704445,9.694239,8.906919,9.697155,9.511989,9.971259,9.070215,9.192687,3.073463,2.793527,2.856221,2.692925
27,10.023747,38.324976,9.113955,9.374937,9.476997,9.468249,8.936079,9.595095,9.506157,9.517821,8.971071,9.246633,9.348693,9.761307,9.710277,8.548251,9.726315,9.911481,9.249549,9.332655,9.898359,9.847329,9.822543,8.806317,9.618423,9.666537,9.262671,9.261213,9.439089,9.756933,9.428883,8.696967,9.835665,9.366189,8.715921,8.374749,9.710277,9.727773,8.928789,9.720483,9.497409,9.966885,9.071673,9.169359,3.054509,2.774573,2.847473,2.688551
28,10.038327,41.637551,9.141657,9.369105,9.490119,9.468249,8.947743,9.603843,9.516363,9.526569,8.971071,9.233511,9.354525,9.775887,9.716109,8.564289,9.742353,9.910023,9.256839,9.337029,9.891069,9.850245,9.840039,8.800485,9.618423,9.678201,9.264129,9.278709,9.460959,9.764223,9.425967,8.715921,9.847329,9.415761,8.727585,8.389329,9.700071,9.736521,8.922957,9.727773,9.506157,9.963969,9.102291,9.185397,3.069089,2.799359,2.844557,2.698757
29,10.060197,45.031774,9.156237,9.409929,9.526569,9.517821,8.966697,9.631545,9.535317,9.564477,9.008979,9.275793,9.363273,9.787551,9.727773,8.580327,9.752559,9.940641,9.290373,9.366189,9.923145,9.867741,9.866283,8.813607,9.646125,9.705903,9.285999,9.297663,9.471165,9.784635,9.446379,8.730501,9.861909,9.494493,8.752371,8.398077,9.739437,9.762765,8.968155,9.748185,9.528027,9.981465,9.105207,9.213099,3.064715,2.792069,2.850389,2.688551
30,10.039785,48.124191,9.129993,9.392433,9.523653,9.526569,8.981277,9.641751,9.548439,9.554271,8.994399,9.271419,9.363273,9.790467,9.727773,8.577411,9.784635,9.947931,9.309327,9.373479,9.923145,9.891069,9.877947,8.838393,9.663621,9.721941,9.296205,9.283083,9.449295,9.759849,9.436173,8.750913,9.891069,9.511989,8.746539,8.376207,9.732147,9.772971,8.979819,9.759849,9.539691,10.003335,9.125619,9.204351,3.073463,2.797901,2.835809,2.687093
31,10.041243,51.282218,9.160611,9.401181,9.536775,9.510531,8.987109,9.638835,9.564477,9.558645,9.010437,9.258297,9.367647,9.790467,9.726315,8.591991,9.765681,9.946473,9.319533,9.366189,9.911481,9.893985,9.867741,8.828187,9.666537,9.714651,9.296205,9.306411,9.463875,9.778803,9.433257,8.745081,9.879405,9.523653,8.774241,8.403909,9.742353,9.777345,8.982735,9.751101,9.532401,9.984381,9.141657,9.233511,3.083669,2.806649,2.840183,2.701673
32,10.067487,54.313399,9.157695,9.421593,9.528027,9.528027,8.965239,9.659247,9.581973,9.567393,9.010437,9.264129,9.369105,9.790467,9.724857,8.584701,9.775887,9.963969,9.328281,9.370563,9.918771,9.893985,9.893985,8.850057,9.673827,9.745269,9.325365,9.310785,9.481371,9.771513,9.437631,8.747997,9.888153,9.532401,8.801943,8.400993,9.762765,9.771513,8.987109,9.756933,9.541149,10.007709,9.150405,9.246633,3.080753,2.809565,2.847473,2.692925
33,10.087899,57.340206,9.178107,9.442005,9.538233,9.528027,8.966697,9.656331,9.568851,9.595095,9.017727,9.278709,9.360357,9.805047,9.729231,8.574495,9.790467,9.949389,9.320991,9.374937,9.917313,9.876489,9.882321,8.823813,9.659247,9.740895,9.300579,9.315159,9.497409,9.794841,9.440547,8.761119,9.880863,9.532401,8.815065,8.415573,9.780261,9.771513,9.001689,9.748185,9.533859,9.985839,9.135825,9.258297,3.082211,2.812481,2.869343,2.716253
34,10.093731,60.082703,9.188313,9.427425,9.558645,9.544065,8.990025,9.685491,9.612591,9.589263,9.023559,9.275793,9.382227,9.822543,9.758391,8.606571,9.826917,9.982923,9.351609,9.390975,9.926061,9.910023,9.908565,8.852973,9.689865,9.780261,9.334113,9.345777,9.506157,9.786093,9.446379,8.781531,9.917313,9.568851,8.829645,8.411199,9.768597,9.791925,9.019185,9.774429,9.573225,10.025205,9.167901,9.280167,3.093875,2.821229,2.875175,2.719169
35,10.084983,62.680858,9.198519,9.459501,9.587805,9.565935,9.011895,9.688407,9.606759,9.605301,9.057093,9.312243,9.398265,9.826917,9.772971,8.599281,9.809421,9.982923,9.364731,9.398265,9.942099,9.946473,9.917313,8.850057,9.691323,9.794841,9.354525,9.383685,9.511989,9.794841,9.465333,8.791737,9.930435,9.574683,8.832561,8.406825,9.793383,9.824001,9.051261,9.810879,9.581973,10.048533,9.181023,9.278709,3.083669,2.809565,2.856221,2.710421
36,10.114143,65.146336,9.207267,9.453669,9.583431,9.557187,9.010437,9.697155,9.616965,9.593637,9.051261,9.288915,9.395349,9.837123,9.771513,8.610945,9.837123,10.001877,9.402639,9.407013,9.930435,9.945015,9.926061,8.879217,9.719025,9.810879,9.358899,9.389517,9.517821,9.796299,9.463875,8.812149,9.936267,9.583431,8.852973,8.421405,9.794841,9.806505,9.042513,9.793383,9.592179,10.051449,9.185397,9.272877,3.090959,2.819771,2.851847,2.707505
37,10.105395,67.509753,9.229137,9.490119,9.624255,9.580515,9.026475,9.685491,9.624255,9.612591,9.087711,9.312243,9.411387,9.838581,9.777345,8.632815,9.819627,10.004793,9.411387,9.398265,9.950847,9.969801,9.905649,8.866095,9.723399,9.783177,9.347235,9.376395,9.555729,9.821085,9.485745,8.810691,9.924603,9.590721,8.867553,8.435985,9.822543,9.837123,9.065841,9.819627,9.577599,10.041243,9.194145,9.294747,3.089501,2.809565,2.860595,2.710421
38,10.089357,69.66905,9.202893,9.493035,9.646125,9.606759,9.038139,9.700071,9.628629,9.603843,9.070215,9.304953,9.396807,9.840039,9.772971,8.622609,9.860451,10.029579,9.434715,9.436173,9.969801,9.984381,9.940641,8.893797,9.726315,9.815253,9.360357,9.379311,9.533859,9.818169,9.498867,8.829645,9.955221,9.580515,8.867553,8.437443,9.838581,9.845871,9.080421,9.825459,9.587805,10.047075,9.191229,9.284541,3.076379,2.805191,2.835809,2.679803
39,10.111227,71.806477,9.251007,9.519279,9.637377,9.586347,9.016269,9.688407,9.615507,9.635919,9.092085,9.318075,9.396807,9.841497,9.781719,8.609487,9.832749,10.004793,9.405555,9.407013,9.936267,9.955221,9.914397,8.871927,9.714651,9.807963,9.351609,9.386601,9.546981,9.838581,9.497409,8.829645,9.937725,9.586347,8.883591,8.453481,9.847329,9.847329,9.086253,9.809421,9.580515,10.045617,9.185397,9.299121,3.072005,2.802275,2.847473,2.691467
40,10.141845,73.801021,9.262671,9.535317,9.647583,9.590721,9.013353,9.689865,9.621339,9.647583,9.102291,9.331197,9.402639,9.828375,9.796299,8.605113,9.828375,10.001877,9.411387,9.402639,9.963969,9.949389,9.910023,8.871927,9.702987,9.807963,9.348693,9.390975,9.584889,9.857535,9.509073,8.819439,9.939183,9.584889,8.909835,8.478267,9.877947,9.866283,9.108123,9.831291,9.584889,10.039785,9.178107,9.316617,3.077837,2.797901,2.867885,2.706047
